"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"458380","0","560","Liar-soft","0","560","Gahkthun of the Golden Lightning Steam Edition","2","787","888","0","0","788","1091","39","3999","MangaGamer","92","94"
"585740","0","52","Nighthood Games","0","65","MORTEM","7","1049","1026","0","0","1049","1026","3","499","Nighthood Games","2","30"
"19320","0","106","Strawdog Studios Ltd","0","44","Space Ark","6","6034","2461","0","0","2623","1622","6","499","Bounce Entertainment ","9","60"
"719140","0","0","Gopherwood Studios LLC","0","0","Entanglement","0","791","1550","0","0","0","0","0","499","Gopherwood Studios LLC","","0"
"420360","148","196","3D Avenue","148","209","Spectrum","0","59548","7731","788","1090","9444","3079","19","499","3D Avenue","100","100"
"553960","79","218","UndeadScout","79","156","Husk","253","159495","12651","785","1538","30955","5574","167","1999","IMGN.PRO","4","60"
"305280","2","11","Cakewalk","4","1","Cakewalk Loop Manager","2","427594","20709","1571","2175","61122","7832","15","0","Cakewalk","67","88"
"562490","184","201","ClickGames","184","210","EvilMorph","10","27544","5258","785","1538","25183","5028","71","399","ClickGames","64","90"
"527450","1","94","HFM Games","2","48","Cockroach Simulator","109","37251","6115","1183","1336","25708","5080","304","899","HFM Games","33","71"
"550220","0","12","Puzzle Lab","0","13","Charm Tale Quest","0","10231","3204","0","0","2099","1451","0","299","Puzzle lab","","0"
"237870","354","782","Pathea Games","490","217","Planet Explorers","1572","278854","16726","2099","1451","264426","16288","3722","1499","Pathea Games","28","69"
"760930","79","41","RewindApp","79","79","Bitcoin Farm","5","1836","1357","791","1550","1583","2192","17","74","RewindApp","40","80"
"328550","0","136","Choice of Games","0","134","Thieves' Gambit: The Curse of the Black Cat","4","4722","2177","0","0","2886","1702","21","299","Choice of Games","56","86"
"560770","0","0","Chadrick Evans","0","0","Andoran Skye XD","1","6558","2565","0","0","0","0","5","1499","OMAG","53","100"
"710170","0","0","XAREA","0","0","The Broken Seal","2","1583","2192","0","0","0","0","17","2499","XAREA","70","92"
"254300","1054","572","Ankama Studio","1054","43","Dofus","34","39874","6326","784","1536","22036","4703","85","0","Ankama Games","30","71"
